First 1 second:
N wins: 60922, R wins: 35029, Draws: 4049, [60.92:35.03:4.05] (100K-epoch: 58, 8.64s)
Time Training: 493.82s, Trained: 95k, (X:47936,O:48015), Self Play: 0 (Draws: NaN%)
N wins: 60998, R wins: 34954, Draws: 4048, [61.00:34.95:4.05] (100K-epoch: 59, 8.64s)
Time Training: 502.46s, Trained: 95k, (X:47555,O:48397), Self Play: 0 (Draws: NaN%)
N wins: 61169, R wins: 34828, Draws: 4003, [61.17:34.83:4.00] (100K-epoch: 60, 8.65s)
Time Training: 511.12s, Trained: 95k, (X:47854,O:48143), Self Play: 0 (Draws: NaN%)
N wins: 60899, R wins: 35155, Draws: 3946, [60.90:35.16:3.95] (100K-epoch: 61, 8.69s)
Time Training: 519.81s, Trained: 96k, (X:47781,O:48273), Self Play: 0 (Draws: NaN%)
N wins: 61250, R wins: 34732, Draws: 4018, [61.25:34.73:4.02] (100K-epoch: 62, 8.70s)
Time Training: 528.51s, Trained: 95k, (X:47792,O:48190), Self Play: 0 (Draws: NaN%)
N wins: 61173, R wins: 34847, Draws: 3980, [61.17:34.85:3.98] (100K-epoch: 63, 8.65s)
Time Training: 537.16s, Trained: 96k, (X:47925,O:48095), Self Play: 0 (Draws: NaN%)
N wins: 60946, R wins: 35095, Draws: 3959, [60.95:35.09:3.96] (100K-epoch: 64, 8.64s)
Time Training: 545.80s, Trained: 96k, (X:47637,O:48404), Self Play: 0 (Draws: NaN%)
N wins: 61058, R wins: 34994, Draws: 3948, [61.06:34.99:3.95] (100K-epoch: 65, 8.70s)
Time Training: 554.50s, Trained: 96k, (X:48210,O:47842), Self Play: 0 (Draws: NaN%)
N wins: 60902, R wins: 35129, Draws: 3969, [60.90:35.13:3.97] (100K-epoch: 66, 8.65s)
Time Training: 563.15s, Trained: 96k, (X:47657,O:48374), Self Play: 0 (Draws: NaN%)
N wins: 61107, R wins: 35003, Draws: 3890, [61.11:35.00:3.89] (100K-epoch: 67, 8.65s)
Time Training: 571.81s, Trained: 96k, (X:48021,O:48089), Self Play: 0 (Draws: NaN%)
N wins: 60980, R wins: 34994, Draws: 4026, [60.98:34.99:4.03] (100K-epoch: 68, 8.64s)
Time Training: 580.45s, Trained: 95k, (X:48090,O:47884), Self Play: 0 (Draws: NaN%)
N wins: 60874, R wins: 35120, Draws: 4006, [60.87:35.12:4.01] (100K-epoch: 69, 8.65s)
Time Training: 589.10s, Trained: 95k, (X:48025,O:47969), Self Play: 0 (Draws: NaN%)
N wins: 61215, R wins: 34853, Draws: 3932, [61.22:34.85:3.93] (100K-epoch: 70, 8.68s)
Time Training: 597.78s, Trained: 96k, (X:47926,O:48142), Self Play: 0 (Draws: NaN%)
N wins: 61273, R wins: 34816, Draws: 3911, [61.27:34.82:3.91] (100K-epoch: 71, 8.64s)
Time Training: 606.43s, Trained: 96k, (X:48175,O:47914), Self Play: 0 (Draws: NaN%)
N wins: 61201, R wins: 34872, Draws: 3927, [61.20:34.87:3.93] (100K-epoch: 72, 8.64s)
Time Training: 615.07s, Trained: 96k, (X:47997,O:48076), Self Play: 0 (Draws: NaN%)
N wins: 61361, R wins: 34694, Draws: 3945, [61.36:34.69:3.94] (100K-epoch: 73, 8.64s)
Time Training: 623.71s, Trained: 96k, (X:47960,O:48095), Self Play: 0 (Draws: NaN%)
N wins: 61042, R wins: 34882, Draws: 4076, [61.04:34.88:4.08] (100K-epoch: 74, 8.64s)
Time Training: 632.35s, Trained: 95k, (X:48025,O:47899), Self Play: 0 (Draws: NaN%)
N wins: 60965, R wins: 35042, Draws: 3993, [60.97:35.04:3.99] (100K-epoch: 75, 8.64s)
Time Training: 640.99s, Trained: 96k, (X:47808,O:48199), Self Play: 0 (Draws: NaN%)
N wins: 61074, R wins: 34982, Draws: 3944, [61.07:34.98:3.94] (100K-epoch: 76, 8.64s)
Time Training: 649.64s, Trained: 96k, (X:47993,O:48063), Self Play: 0 (Draws: NaN%)
N wins: 61130, R wins: 34870, Draws: 4000, [61.13:34.87:4.00] (100K-epoch: 77, 8.67s)
Time Training: 658.31s, Trained: 96k, (X:47760,O:48240), Self Play: 0 (Draws: NaN%)
N wins: 61257, R wins: 34823, Draws: 3920, [61.26:34.82:3.92] (100K-epoch: 78, 8.64s)
Time Training: 666.95s, Trained: 96k, (X:48040,O:48040), Self Play: 0 (Draws: NaN%)
N wins: 60829, R wins: 35178, Draws: 3993, [60.83:35.18:3.99] (100K-epoch: 79, 8.65s)
Time Training: 675.61s, Trained: 96k, (X:47978,O:48029), Self Play: 0 (Draws: NaN%)
N wins: 61125, R wins: 34891, Draws: 3984, [61.12:34.89:3.98] (100K-epoch: 80, 8.68s)
Time Training: 684.28s, Trained: 96k, (X:47852,O:48164), Self Play: 0 (Draws: NaN%)
N wins: 61317, R wins: 34730, Draws: 3953, [61.32:34.73:3.95] (100K-epoch: 81, 8.64s)
Time Training: 692.93s, Trained: 96k, (X:47757,O:48290), Self Play: 0 (Draws: NaN%)
N wins: 60913, R wins: 35043, Draws: 4044, [60.91:35.04:4.04] (100K-epoch: 82, 8.65s)
Time Training: 701.57s, Trained: 95k, (X:47828,O:48128), Self Play: 0 (Draws: NaN%)
