First 1 second:
Time Training: 1503.97s, Trained: 48k, (X:24095,O:24011), Self Play: 49941 (Draws: 0.00%)
N wins: 30865, R wins: 17380, Draws: 1934, [61.51:34.64:3.85] (100K-epoch: 112, 13.47s)
Time Training: 1517.44s, Trained: 48k, (X:24237,O:24008), Self Play: 49821 (Draws: 0.00%)
N wins: 30728, R wins: 17288, Draws: 2044, [61.38:34.53:4.08] (100K-epoch: 113, 13.47s)
Time Training: 1530.90s, Trained: 48k, (X:24108,O:23908), Self Play: 49940 (Draws: 0.00%)
N wins: 30546, R wins: 17569, Draws: 2000, [60.95:35.06:3.99] (100K-epoch: 114, 13.46s)
Time Training: 1544.37s, Trained: 48k, (X:24206,O:23909), Self Play: 49885 (Draws: 0.00%)
N wins: 30448, R wins: 17337, Draws: 2006, [61.15:34.82:4.03] (100K-epoch: 115, 13.52s)
Time Training: 1557.89s, Trained: 47k, (X:23785,O:24000), Self Play: 50209 (Draws: 0.00%)
N wins: 30583, R wins: 17375, Draws: 2007, [61.21:34.77:4.02] (100K-epoch: 116, 13.49s)
Time Training: 1571.38s, Trained: 47k, (X:24137,O:23821), Self Play: 50035 (Draws: 0.00%)
N wins: 30255, R wins: 17657, Draws: 1960, [60.67:35.40:3.93] (100K-epoch: 117, 13.51s)
Time Training: 1584.89s, Trained: 47k, (X:23691,O:24221), Self Play: 50128 (Draws: 0.00%)
N wins: 30418, R wins: 17516, Draws: 2034, [60.87:35.05:4.07] (100K-epoch: 118, 13.48s)
Time Training: 1598.37s, Trained: 47k, (X:23892,O:24042), Self Play: 50032 (Draws: 0.00%)
N wins: 30325, R wins: 17701, Draws: 1935, [60.70:35.43:3.87] (100K-epoch: 119, 13.47s)
Time Training: 1611.84s, Trained: 48k, (X:23760,O:24266), Self Play: 50039 (Draws: 0.00%)
N wins: 30318, R wins: 17431, Draws: 2118, [60.80:34.95:4.25] (100K-epoch: 120, 13.49s)
Time Training: 1625.32s, Trained: 47k, (X:23919,O:23830), Self Play: 50133 (Draws: 0.00%)
N wins: 30587, R wins: 17501, Draws: 1900, [61.19:35.01:3.80] (100K-epoch: 121, 13.49s)
Time Training: 1638.82s, Trained: 48k, (X:23998,O:24090), Self Play: 50012 (Draws: 0.00%)
N wins: 30385, R wins: 17599, Draws: 1991, [60.80:35.22:3.98] (100K-epoch: 122, 13.46s)
Time Training: 1652.27s, Trained: 47k, (X:23843,O:24141), Self Play: 50025 (Draws: 0.00%)
N wins: 30704, R wins: 17569, Draws: 1990, [61.09:34.95:3.96] (100K-epoch: 123, 13.45s)
Time Training: 1665.73s, Trained: 48k, (X:24186,O:24087), Self Play: 49737 (Draws: 0.00%)
N wins: 30506, R wins: 17652, Draws: 2062, [60.74:35.15:4.11] (100K-epoch: 124, 13.45s)
Time Training: 1679.18s, Trained: 48k, (X:23952,O:24206), Self Play: 49780 (Draws: 0.00%)
N wins: 30625, R wins: 17492, Draws: 2054, [61.04:34.86:4.09] (100K-epoch: 125, 13.67s)
Time Training: 1692.86s, Trained: 48k, (X:24206,O:23911), Self Play: 49829 (Draws: 0.00%)
N wins: 30497, R wins: 17475, Draws: 1995, [61.03:34.97:3.99] (100K-epoch: 126, 13.48s)
Time Training: 1706.33s, Trained: 47k, (X:23934,O:24038), Self Play: 50033 (Draws: 0.00%)
N wins: 30333, R wins: 17641, Draws: 1979, [60.72:35.32:3.96] (100K-epoch: 127, 13.47s)
Time Training: 1719.80s, Trained: 47k, (X:23710,O:24264), Self Play: 50047 (Draws: 0.00%)
N wins: 30438, R wins: 17378, Draws: 2009, [61.09:34.88:4.03] (100K-epoch: 128, 13.47s)
Time Training: 1733.27s, Trained: 47k, (X:23740,O:24076), Self Play: 50175 (Draws: 0.00%)
N wins: 30434, R wins: 17344, Draws: 1974, [61.17:34.86:3.97] (100K-epoch: 129, 13.51s)
Time Training: 1746.78s, Trained: 47k, (X:23970,O:23808), Self Play: 50248 (Draws: 0.00%)
N wins: 30640, R wins: 17493, Draws: 1977, [61.15:34.91:3.95] (100K-epoch: 130, 13.45s)
Time Training: 1760.24s, Trained: 48k, (X:24046,O:24087), Self Play: 49890 (Draws: 0.00%)
N wins: 30457, R wins: 17422, Draws: 2014, [61.04:34.92:4.04] (100K-epoch: 131, 13.51s)
Time Training: 1773.74s, Trained: 47k, (X:23923,O:23956), Self Play: 50107 (Draws: 0.00%)
