First 1 second:
Time Training: 1075.50s, Trained: 47k, (X:24011,O:23967), Self Play: 50038 (Draws: 0.00%)
N wins: 30540, R wins: 17508, Draws: 1944, [61.09:35.02:3.89] (100K-epoch: 65, 17.21s)
Time Training: 1092.71s, Trained: 48k, (X:24026,O:24022), Self Play: 50008 (Draws: 0.00%)
N wins: 30741, R wins: 17419, Draws: 2015, [61.27:34.72:4.02] (100K-epoch: 66, 17.80s)
Time Training: 1110.51s, Trained: 48k, (X:24006,O:24154), Self Play: 49825 (Draws: 0.00%)
N wins: 30575, R wins: 17696, Draws: 1992, [60.83:35.21:3.96] (100K-epoch: 67, 17.59s)
Time Training: 1128.10s, Trained: 48k, (X:24025,O:24246), Self Play: 49737 (Draws: 0.00%)
N wins: 30431, R wins: 17269, Draws: 2039, [61.18:34.72:4.10] (100K-epoch: 68, 18.28s)
Time Training: 1146.38s, Trained: 47k, (X:23894,O:23806), Self Play: 50261 (Draws: 0.00%)
N wins: 30759, R wins: 17477, Draws: 2020, [61.20:34.78:4.02] (100K-epoch: 69, 18.87s)
Time Training: 1165.25s, Trained: 48k, (X:24128,O:24108), Self Play: 49744 (Draws: 0.00%)
N wins: 30394, R wins: 17309, Draws: 2058, [61.08:34.78:4.14] (100K-epoch: 70, 17.47s)
Time Training: 1182.72s, Trained: 47k, (X:23769,O:23934), Self Play: 50239 (Draws: 0.00%)
N wins: 30487, R wins: 17509, Draws: 2042, [60.93:34.99:4.08] (100K-epoch: 71, 18.05s)
Time Training: 1200.77s, Trained: 47k, (X:23791,O:24205), Self Play: 49962 (Draws: 0.00%)
N wins: 30503, R wins: 17439, Draws: 2028, [61.04:34.90:4.06] (100K-epoch: 72, 18.21s)
Time Training: 1218.98s, Trained: 47k, (X:23867,O:24075), Self Play: 50030 (Draws: 0.00%)
N wins: 30497, R wins: 17460, Draws: 2008, [61.04:34.94:4.02] (100K-epoch: 73, 17.92s)
Time Training: 1236.90s, Trained: 47k, (X:24031,O:23926), Self Play: 50035 (Draws: 0.00%)
N wins: 30494, R wins: 17346, Draws: 2005, [61.18:34.80:4.02] (100K-epoch: 74, 17.56s)
Time Training: 1254.46s, Trained: 47k, (X:24032,O:23808), Self Play: 50155 (Draws: 0.00%)
N wins: 30643, R wins: 17558, Draws: 2046, [60.98:34.94:4.07] (100K-epoch: 75, 17.65s)
Time Training: 1272.10s, Trained: 48k, (X:24104,O:24097), Self Play: 49753 (Draws: 0.00%)
N wins: 30338, R wins: 17361, Draws: 2002, [61.04:34.93:4.03] (100K-epoch: 76, 17.13s)
Time Training: 1289.24s, Trained: 47k, (X:23825,O:23874), Self Play: 50299 (Draws: 0.00%)
N wins: 30602, R wins: 17404, Draws: 1973, [61.23:34.82:3.95] (100K-epoch: 77, 17.44s)
Time Training: 1306.68s, Trained: 48k, (X:24055,O:23951), Self Play: 50021 (Draws: 0.00%)
N wins: 30651, R wins: 17451, Draws: 1994, [61.18:34.84:3.98] (100K-epoch: 78, 17.78s)
Time Training: 1324.46s, Trained: 48k, (X:24102,O:24000), Self Play: 49904 (Draws: 0.00%)
N wins: 30482, R wins: 17535, Draws: 2048, [60.88:35.02:4.09] (100K-epoch: 79, 17.56s)
Time Training: 1342.03s, Trained: 48k, (X:24045,O:23972), Self Play: 49935 (Draws: 0.00%)
N wins: 30436, R wins: 17461, Draws: 2028, [60.96:34.97:4.06] (100K-epoch: 80, 17.73s)
Time Training: 1359.76s, Trained: 47k, (X:23838,O:24059), Self Play: 50075 (Draws: 0.00%)
N wins: 30734, R wins: 17401, Draws: 1994, [61.31:34.71:3.98] (100K-epoch: 81, 16.97s)
Time Training: 1376.73s, Trained: 48k, (X:24100,O:24035), Self Play: 49871 (Draws: 0.00%)
N wins: 30545, R wins: 17603, Draws: 1929, [61.00:35.15:3.85] (100K-epoch: 82, 16.89s)
Time Training: 1393.62s, Trained: 48k, (X:24155,O:23993), Self Play: 49923 (Draws: 0.00%)
N wins: 30479, R wins: 17419, Draws: 2106, [60.95:34.84:4.21] (100K-epoch: 83, 16.95s)
Time Training: 1410.57s, Trained: 47k, (X:23736,O:24162), Self Play: 49996 (Draws: 0.00%)
N wins: 30417, R wins: 17565, Draws: 1984, [60.88:35.15:3.97] (100K-epoch: 84, 16.95s)
Time Training: 1427.52s, Trained: 47k, (X:24166,O:23816), Self Play: 50034 (Draws: 0.00%)
N wins: 30619, R wins: 17538, Draws: 1964, [61.09:34.99:3.92] (100K-epoch: 85, 19.40s)
Time Training: 1446.92s, Trained: 48k, (X:24081,O:24076), Self Play: 49879 (Draws: 0.00%)
N wins: 30277, R wins: 17491, Draws: 2087, [60.73:35.08:4.19] (100K-epoch: 86, 17.47s)
Time Training: 1464.39s, Trained: 47k, (X:23853,O:23915), Self Play: 50145 (Draws: 0.00%)
N wins: 30605, R wins: 17672, Draws: 1971, [60.91:35.17:3.92] (100K-epoch: 87, 17.47s)
Time Training: 1481.86s, Trained: 48k, (X:24108,O:24169), Self Play: 49752 (Draws: 0.00%)
N wins: 30574, R wins: 17605, Draws: 2019, [60.91:35.07:4.02] (100K-epoch: 88, 17.23s)
Time Training: 1499.09s, Trained: 48k, (X:23980,O:24199), Self Play: 49802 (Draws: 0.00%)
N wins: 30313, R wins: 17597, Draws: 1965, [60.78:35.28:3.94] (100K-epoch: 89, 17.77s)
Time Training: 1516.86s, Trained: 47k, (X:23705,O:24205), Self Play: 50125 (Draws: 0.00%)
N wins: 30672, R wins: 17561, Draws: 1976, [61.09:34.98:3.94] (100K-epoch: 90, 16.94s)
Time Training: 1533.80s, Trained: 48k, (X:24130,O:24103), Self Play: 49791 (Draws: 0.00%)
N wins: 30606, R wins: 17392, Draws: 2031, [61.18:34.76:4.06] (100K-epoch: 91, 16.78s)
Time Training: 1550.58s, Trained: 47k, (X:24057,O:23941), Self Play: 49971 (Draws: 0.00%)
N wins: 30665, R wins: 17489, Draws: 2006, [61.13:34.87:4.00] (100K-epoch: 92, 16.81s)
Time Training: 1567.38s, Trained: 48k, (X:24092,O:24062), Self Play: 49840 (Draws: 0.00%)
N wins: 30243, R wins: 17446, Draws: 2031, [60.83:35.09:4.08] (100K-epoch: 93, 17.57s)
Time Training: 1584.95s, Trained: 47k, (X:23684,O:24005), Self Play: 50280 (Draws: 0.00%)
N wins: 30767, R wins: 17351, Draws: 1991, [61.40:34.63:3.97] (100K-epoch: 94, 17.30s)
Time Training: 1602.26s, Trained: 48k, (X:24126,O:23992), Self Play: 49891 (Draws: 0.00%)
N wins: 30678, R wins: 17614, Draws: 1990, [61.01:35.03:3.96] (100K-epoch: 95, 18.97s)
Time Training: 1621.22s, Trained: 48k, (X:24015,O:24277), Self Play: 49718 (Draws: 0.00%)
N wins: 30546, R wins: 17375, Draws: 1987, [61.20:34.81:3.98] (100K-epoch: 96, 17.09s)
Time Training: 1638.31s, Trained: 47k, (X:23976,O:23945), Self Play: 50092 (Draws: 0.00%)
N wins: 30443, R wins: 17434, Draws: 1934, [61.12:35.00:3.88] (100K-epoch: 97, 18.95s)
Time Training: 1657.26s, Trained: 47k, (X:23932,O:23945), Self Play: 50189 (Draws: 0.00%)
N wins: 30625, R wins: 17366, Draws: 1961, [61.31:34.77:3.93] (100K-epoch: 98, 16.75s)
Time Training: 1674.01s, Trained: 47k, (X:24081,O:23910), Self Play: 50048 (Draws: 0.00%)
N wins: 30550, R wins: 17492, Draws: 1985, [61.07:34.97:3.97] (100K-epoch: 99, 18.66s)
Time Training: 1692.67s, Trained: 48k, (X:23905,O:24137), Self Play: 49973 (Draws: 0.00%)
N wins: 30613, R wins: 17417, Draws: 1945, [61.26:34.85:3.89] (100K-epoch: 100, 19.68s)
Time Training: 1712.35s, Trained: 48k, (X:24048,O:23982), Self Play: 50025 (Draws: 0.00%)
N wins: 30426, R wins: 17078, Draws: 1997, [61.47:34.50:4.03] (100K-epoch: 101, 22.45s)
Time Training: 1734.81s, Trained: 47k, (X:23846,O:23658), Self Play: 50499 (Draws: 0.00%)
N wins: 30355, R wins: 17438, Draws: 1910, [61.07:35.08:3.84] (100K-epoch: 102, 20.82s)
Time Training: 1755.63s, Trained: 47k, (X:23823,O:23970), Self Play: 50297 (Draws: 0.00%)
N wins: 30565, R wins: 17528, Draws: 2057, [60.95:34.95:4.10] (100K-epoch: 103, 21.57s)
Time Training: 1777.20s, Trained: 48k, (X:23951,O:24142), Self Play: 49850 (Draws: 0.00%)
N wins: 30533, R wins: 17467, Draws: 1984, [61.09:34.95:3.97] (100K-epoch: 104, 21.18s)
Time Training: 1798.38s, Trained: 48k, (X:24058,O:23942), Self Play: 50016 (Draws: 0.00%)
N wins: 30443, R wins: 17528, Draws: 1993, [60.93:35.08:3.99] (100K-epoch: 105, 21.47s)
Time Training: 1819.85s, Trained: 47k, (X:24016,O:23955), Self Play: 50036 (Draws: 0.00%)
N wins: 30397, R wins: 17556, Draws: 1966, [60.89:35.17:3.94] (100K-epoch: 106, 17.24s)
Time Training: 1837.09s, Trained: 47k, (X:23875,O:24078), Self Play: 50081 (Draws: 0.00%)
N wins: 30871, R wins: 17408, Draws: 1962, [61.45:34.65:3.91] (100K-epoch: 107, 16.95s)
Time Training: 1854.04s, Trained: 48k, (X:24308,O:23971), Self Play: 49759 (Draws: 0.00%)
N wins: 30557, R wins: 17352, Draws: 1956, [61.28:34.80:3.92] (100K-epoch: 108, 17.40s)
Time Training: 1871.45s, Trained: 47k, (X:23951,O:23958), Self Play: 50135 (Draws: 0.00%)
N wins: 30693, R wins: 17501, Draws: 1909, [61.26:34.93:3.81] (100K-epoch: 109, 16.89s)
Time Training: 1888.34s, Trained: 48k, (X:24006,O:24188), Self Play: 49897 (Draws: 0.00%)
N wins: 30340, R wins: 17461, Draws: 2068, [60.84:35.01:4.15] (100K-epoch: 110, 17.50s)
Time Training: 1905.84s, Trained: 47k, (X:23762,O:24039), Self Play: 50131 (Draws: 0.00%)
N wins: 30617, R wins: 17519, Draws: 2015, [61.05:34.93:4.02] (100K-epoch: 111, 17.25s)
Time Training: 1923.08s, Trained: 48k, (X:24073,O:24063), Self Play: 49849 (Draws: 0.00%)
N wins: 30492, R wins: 17551, Draws: 2003, [60.93:35.07:4.00] (100K-epoch: 112, 17.42s)
Time Training: 1940.50s, Trained: 48k, (X:23699,O:24344), Self Play: 49954 (Draws: 0.00%)
N wins: 30717, R wins: 17494, Draws: 1978, [61.20:34.86:3.94] (100K-epoch: 113, 18.06s)
Time Training: 1958.56s, Trained: 48k, (X:24190,O:24021), Self Play: 49811 (Draws: 0.00%)
N wins: 30265, R wins: 17504, Draws: 2033, [60.77:35.15:4.08] (100K-epoch: 114, 17.99s)
Time Training: 1976.55s, Trained: 47k, (X:23877,O:23892), Self Play: 50198 (Draws: 0.00%)
N wins: 30514, R wins: 17548, Draws: 2085, [60.85:34.99:4.16] (100K-epoch: 115, 17.46s)
Time Training: 1994.02s, Trained: 48k, (X:23988,O:24074), Self Play: 49853 (Draws: 0.00%)
N wins: 30590, R wins: 17398, Draws: 2058, [61.12:34.76:4.11] (100K-epoch: 116, 17.64s)
Time Training: 2011.65s, Trained: 47k, (X:23807,O:24181), Self Play: 49954 (Draws: 0.00%)
N wins: 30404, R wins: 17703, Draws: 2008, [60.67:35.32:4.01] (100K-epoch: 117, 17.60s)
Time Training: 2029.25s, Trained: 48k, (X:23960,O:24147), Self Play: 49885 (Draws: 0.00%)
